route_id,source_airport,destination_airport,route_type,distance_km,duration_minutes,fuel_estimate_liters
RT0001,GOI,DWC,International,6627,861,31809.6
RT0002,EDI,BHX,Domestic,2493,293,11966.4
RT0003,BLR,BOS,International,2764,312,13267.2
RT0004,LYS,KIX,International,2695,341,12936.0
RT0005,SYD,MAN,International,11919,1543,57211.2
RT0006,DEL,BNE,International,10417,1422,50001.6
RT0007,YUL,ORD,International,3912,413,18777.6
RT0008,KIX,ORY,International,10100,1238,48480.0
RT0009,MAN,DXB,International,10196,1321,48940.8
RT0010,PNQ,ORD,International,6774,794,32515.2
RT0011,DEL,CCU,Domestic,1259,161,6043.2
RT0012,SIN,MUC,International,4879,684,23419.2
RT0013,BNE,SEA,International,2962,358,14217.6
RT0014,SFO,DWC,International,2663,293,12782.4
RT0015,XSP,YVR,International,5667,715,27201.6
RT0016,YYZ,DEL,International,9397,992,45105.6
RT0017,DWC,HND,International,8682,1194,41673.6
RT0018,COK,LAX,International,6805,886,32664.0
RT0019,BLR,CDG,International,2916,394,13996.8
RT0020,AMD,MAN,International,8956,910,42988.8
RT0021,KIX,HAM,International,11354,1575,54499.2
RT0022,SYD,FRA,International,3371,346,16180.8
RT0023,LYS,HYD,International,7116,876,34156.8
RT0024,RKT,DFW,International,10884,1173,52243.2
RT0025,DXB,AUH,Domestic,919,95,4411.2
RT0026,DFW,DXB,International,4883,635,23438.4
RT0027,YVR,BNE,International,10529,1302,50539.2
RT0028,FRA,HND,International,5771,821,27700.8
RT0029,KIX,MUC,International,10225,1328,49080.0
RT0030,ORY,LGW,International,11192,1277,53721.6
RT0031,ATL,LHR,International,9049,1069,43435.2
RT0032,COK,DWC,International,10069,1072,48331.2
RT0033,LGW,JFK,International,7246,732,34780.8
RT0034,YVR,DEL,International,5185,619,24888.0
RT0035,EDI,HYD,International,11624,1521,55795.2
RT0036,BER,DWC,International,9257,1168,44433.6
RT0037,YYZ,MEL,International,2506,262,12028.8
RT0038,XSP,DEL,International,10453,1228,50174.4
RT0039,NRT,ATL,International,8729,1063,41899.2
RT0040,FRA,LAX,International,5448,562,26150.4
RT0041,JFK,AMD,International,3926,522,18844.8
RT0042,BLR,SYD,International,10477,1141,50289.6
RT0043,NCE,AMD,International,7382,898,35433.6
RT0044,CDG,MEL,International,5155,686,24744.0
RT0045,ORY,YUL,International,11311,1453,54292.8
RT0046,COK,BLR,Domestic,719,101,3451.2
RT0047,BOS,SEA,Domestic,1591,164,7636.8
RT0048,ORD,SHJ,International,11590,1230,55632.0
RT0049,COK,AUH,International,2763,313,13262.4
RT0050,PNQ,YUL,International,7560,793,36288.0
RT0051,XSP,LHR,International,8938,1036,42902.4
RT0052,LAX,DFW,Domestic,1371,152,6580.8
RT0053,CTS,CDG,International,4044,421,19411.2
RT0054,PNQ,SHJ,International,3864,396,18547.2
RT0055,DXB,FRA,International,6112,688,29337.6
RT0056,LAX,BOM,International,4517,620,21681.6
RT0057,LGW,PNQ,International,4567,484,21921.6
RT0058,EDI,LYS,International,7396,970,35500.8
RT0059,RKT,NCE,International,2995,301,14376.0
RT0060,LAX,SHJ,International,8727,957,41889.6
RT0061,SEA,EDI,International,8891,936,42676.8
RT0062,SHJ,BNE,International,4496,622,21580.8
RT0063,ATL,PNQ,International,10476,1233,50284.8
RT0064,AUH,LHR,International,8076,994,38764.8
RT0065,NRT,LHR,International,5327,748,25569.6
RT0066,SFO,MAA,International,9177,1305,44049.6
RT0067,MUC,EDI,International,9970,1348,47856.0
RT0068,DFW,DEL,International,2613,370,12542.4
RT0069,LAX,FRA,International,10053,1280,48254.4
RT0070,HYD,YUL,International,10245,1374,49176.0
RT0071,BER,MEL,International,5896,761,28300.8
RT0072,MAN,AMD,International,6341,796,30436.8
RT0073,NCE,SIN,International,5263,716,25262.4
RT0074,ATL,KIX,International,4686,608,22492.8
RT0075,ORY,ATL,International,4741,610,22756.8
RT0076,SHJ,DEL,International,11642,1202,55881.6
RT0077,EDI,LAS,International,5655,793,27144.0
RT0078,HYD,GOI,Domestic,2112,217,10137.6
RT0079,NRT,ORD,International,4807,543,23073.6
RT0080,ATL,LAX,Domestic,1004,110,4819.2
RT0081,SFO,LYS,International,5790,669,27792.0
RT0082,HYD,BNE,International,4853,579,23294.4
RT0083,MAA,MEL,International,10001,1042,48004.8
RT0084,BLR,EDI,International,6248,873,29990.4
RT0085,MAN,YUL,International,8752,1246,42009.6
RT0086,EDI,LAX,International,7684,1022,36883.2
RT0087,LAX,BLR,International,6073,683,29150.4
RT0088,MAA,DFW,International,5056,586,24268.8
RT0089,SFO,YVR,International,3017,329,14481.6
RT0090,HAM,LHR,International,5145,702,24696.0
RT0091,MAN,LAS,International,6106,659,29308.8
RT0092,BOM,MAN,International,7267,1007,34881.6
RT0093,MIA,ATL,Domestic,1120,133,5376.0
RT0094,CDG,ORD,International,8116,961,38956.8
RT0095,BOS,BER,International,4661,507,22372.8
RT0096,BNE,MAN,International,10250,1333,49200.0
RT0097,DXB,SEA,International,7768,889,37286.4
RT0098,AMD,GOI,Domestic,2035,232,9768.0
RT0099,SYD,MUC,International,3061,352,14692.8
RT0100,HND,GOI,International,6923,777,33230.4
