route_id,source_airport,destination_airport,distance_km,duration_minutes
RT0001,PNQ,XSP,5549,693
RT0002,DEL,RKT,7632,954
RT0003,DFW,GOI,2256,282
RT0004,GOI,BOS,1594,199
RT0005,MUC,BHX,5783,722
RT0006,EDI,MAN,8056,1007
RT0007,HND,SEA,5236,654
RT0008,LGW,HAM,10246,1280
RT0009,DWC,MAN,4468,558
RT0010,HND,LYS,1065,133
RT0011,XSP,FRA,7271,908
RT0012,COK,AMD,1937,242
RT0013,ORY,ATL,11398,1424
RT0014,MEL,YUL,4489,561
RT0015,ORY,ORD,6417,802
RT0016,YUL,COK,11598,1449
RT0017,CDG,GOI,9379,1172
RT0018,MUC,ORD,4765,595
RT0019,MIA,NCE,1730,216
RT0020,BER,EDI,715,89
RT0021,GOI,DEL,5494,686
RT0022,DEL,BNE,10948,1368
RT0023,YYZ,DEL,8245,1030
RT0024,NCE,BOM,7071,883
RT0025,JFK,BNE,10820,1352
RT0026,NRT,CTS,11100,1387
RT0027,AUH,BER,10916,1364
RT0028,BOM,LAS,5639,704
RT0029,ORY,PNQ,7689,961
RT0030,CCU,LGW,10652,1331
RT0031,MUC,LGW,8695,1086
RT0032,DWC,MIA,9165,1145
RT0033,CTS,YYZ,4126,515
RT0034,BNE,YUL,11703,1462
RT0035,CCU,LYS,8499,1062
RT0036,YYZ,BHX,3210,401
RT0037,SIN,BOM,10682,1335
RT0038,LHR,CDG,10525,1315
RT0039,KIX,FRA,5506,688
RT0040,JFK,BLR,3728,466
RT0041,JFK,CCU,9900,1237
RT0042,LGW,BHX,11698,1462
RT0043,LAX,DFW,10394,1299
RT0044,BLR,LYS,5291,661
RT0045,HAM,AUH,10685,1335
RT0046,DFW,BHX,7460,932
RT0047,DXB,HAM,4836,604
RT0048,MUC,DFW,449,56
RT0049,DWC,FRA,4444,555
RT0050,AUH,DFW,5561,695
RT0051,BOM,HAM,1491,186
RT0052,MAA,ORY,4674,584
RT0053,LHR,ORD,5602,700
RT0054,DWC,BHX,2090,261
RT0055,LYS,ORD,10885,1360
RT0056,MAN,KIX,8956,1119
RT0057,COK,MIA,11888,1486
RT0058,MEL,LYS,417,52
RT0059,MUC,KIX,3758,469
RT0060,AMD,BOS,946,118
RT0061,SFO,LGW,3421,427
RT0062,CTS,LHR,2496,312
RT0063,YYZ,NCE,5994,749
RT0064,MAN,YVR,11736,1467
RT0065,BER,COK,8010,1001
RT0066,SYD,LHR,6537,817
RT0067,FRA,SYD,2346,293
RT0068,SFO,LAS,5407,675
RT0069,JFK,MEL,7263,907
RT0070,AUH,BHX,7792,974
RT0071,LGW,COK,8528,1066
RT0072,DWC,XSP,7625,953
RT0073,COK,NRT,11106,1388
RT0074,COK,JFK,5085,635
RT0075,HYD,DFW,11515,1439
RT0076,NRT,JFK,3912,489
RT0077,YVR,DXB,3840,480
RT0078,EDI,YYZ,5883,735
RT0079,COK,BHX,2131,266
RT0080,CTS,AMD,2899,362
RT0081,HAM,ATL,7214,901
RT0082,MAN,LAX,10911,1363
RT0083,KIX,LHR,969,121
RT0084,KIX,HYD,2336,292
RT0085,ORD,LAX,2302,287
RT0086,MAN,AUH,11392,1424
RT0087,MUC,PNQ,10267,1283
RT0088,HYD,HND,690,86
RT0089,MAN,MUC,6148,768
RT0090,NRT,BOM,6507,813
RT0091,AUH,GOI,2692,336
RT0092,BER,NCE,8712,1089
RT0093,NCE,SIN,1229,153
RT0094,ORY,RKT,2532,316
RT0095,MUC,BOS,4173,521
RT0096,CDG,BOS,726,90
RT0097,LHR,YUL,1943,242
RT0098,MIA,PNQ,3004,375
RT0099,AUH,BOS,4272,534
RT0100,CTS,SFO,5249,656
